[2025-08-07 14:16:12] Shell.is_invalid_para_length() : command_args: ['1_FullWriteAndReadCompare']
[2025-08-07 14:16:12] Shell.run_command()            : run command with 1_FullWriteAndReadCompare
[2025-08-07 14:16:14] Shell.read_output()            : function executed
[2025-08-07 14:16:14] Shell.read_output()            : {'0': '0x967EE070'}
[2025-08-07 14:16:14] Shell.ssd_read()               : [Read] LBA 3 : 0x967EE070
[2025-08-07 14:16:14] Shell.ssd_read()               : read 4, for_script is True
[2025-08-07 14:16:14] Shell.read_output()            : function executed
[2025-08-07 14:16:14] Shell.read_output()            : {'0': '0x19462872'}
[2025-08-07 14:16:14] Shell.ssd_read()               : [Read] LBA 4 : 0x19462872
[2025-08-07 14:16:14] Shell.ssd_read()               : read 5, for_script is True
[2025-08-07 14:16:14] Shell.read_output()            : function executed
[2025-08-07 14:16:14] Shell.read_output()            : {'0': '0x2FA47879'}
[2025-08-07 14:16:14] Shell.ssd_read()               : [Read] LBA 5 : 0x2FA47879
[2025-08-07 14:16:14] Shell.ssd_read()               : read 6, for_script is True
[2025-08-07 14:16:14] Shell.read_output()            : function executed
[2025-08-07 14:16:14] Shell.read_output()            : {'0': '0x5EC37C82'}
[2025-08-07 14:16:14] Shell.ssd_read()               : [Read] LBA 6 : 0x5EC37C82
[2025-08-07 14:16:14] Shell.ssd_write()              : read 3, content 0xB79BC2A5, for_script is True
[2025-08-07 14:16:14] Shell.ssd_write()              : [Write] Done - 3, 0xB79BC2A5
[2025-08-07 14:16:14] Shell.ssd_write()              : read 4, content 0x91CB54C0, for_script is True
[2025-08-07 14:16:14] Shell.ssd_write()              : [Write] Done - 4, 0x91CB54C0
[2025-08-07 14:16:14] Shell.ssd_write()              : read 5, content 0x4F1100C0, for_script is True
[2025-08-07 14:16:14] Shell.ssd_write()              : [Write] Done - 5, 0x4F1100C0
[2025-08-07 14:16:14] Shell.ssd_write()              : read 6, content 0x5A30A6C3, for_script is True
[2025-08-07 14:16:14] Shell.ssd_write()              : [Write] Done - 6, 0x5A30A6C3
[2025-08-07 14:16:14] Shell.ssd_write()              : read 7, content 0x122A32C6, for_script is True
[2025-08-07 14:16:14] Shell.ssd_write()              : [Write] Done - 7, 0x122A32C6
[2025-08-07 14:16:14] Shell.ssd_read()               : read 3, for_script is True
[2025-08-07 14:16:14] Shell.read_output()            : function executed
[2025-08-07 14:16:14] Shell.read_output()            : {'0': '0xB79BC2A5'}
[2025-08-07 14:16:14] Shell.ssd_read()               : [Read] LBA 3 : 0xB79BC2A5
[2025-08-07 14:16:14] Shell.ssd_read()               : read 4, for_script is True
[2025-08-07 14:16:14] Shell.read_output()            : function executed
[2025-08-07 14:16:14] Shell.read_output()            : {'0': '0x91CB54C0'}
[2025-08-07 14:16:14] Shell.ssd_read()               : [Read] LBA 4 : 0x91CB54C0
[2025-08-07 14:16:14] Shell.ssd_read()               : read 5, for_script is True
[2025-08-07 14:16:14] Shell.read_output()            : function executed
[2025-08-07 14:16:14] Shell.read_output()            : {'0': '0x4F1100C0'}
[2025-08-07 14:16:14] Shell.ssd_read()               : [Read] LBA 5 : 0x4F1100C0
[2025-08-07 14:16:14] Shell.ssd_read()               : read 6, for_script is True
[2025-08-07 14:16:14] Shell.read_output()            : function executed
[2025-08-07 14:16:14] Shell.read_output()            : {'0': '0x5A30A6C3'}
[2025-08-07 14:16:14] Shell.ssd_read()               : [Read] LBA 6 : 0x5A30A6C3
[2025-08-07 14:16:14] Shell.ssd_read()               : read 7, for_script is True
[2025-08-07 14:16:15] Shell.read_output()            : function executed
[2025-08-07 14:16:15] Shell.read_output()            : {'0': '0x122A32C6'}
